2024-12-26 16:13:45 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000349 seconds
2024-12-26 16:13:49 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:13:49 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_detail_1_pk_2 in 0:00:00.006402 seconds
2024-12-26 16:19:06 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:19:06 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_detail_1_pk_2 in 0:00:00.017544 seconds
2024-12-26 16:19:07 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000341 seconds
2024-12-26 16:19:08 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000321 seconds
2024-12-26 16:19:09 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000336 seconds
2024-12-26 16:19:10 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000332 seconds
2024-12-26 16:20:49 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_list_1 in 0:00:00.047167 seconds
2024-12-26 16:20:53 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_list_1 in 0:00:00.000285 seconds
2024-12-26 16:20:56 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_list_1 in 0:00:00.000247 seconds
2024-12-26 16:21:09 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_list:1 in 0:00:00.040938 seconds
2024-12-26 16:23:46 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_list:1 in 0:00:00.050555 seconds
2024-12-26 16:27:40 | INFO | main.custom_cache:wrapper:50 - Cached data for key: club_list:1 in 0:00:00.084348 seconds
2024-12-26 16:27:43 | INFO | main.custom_cache:wrapper:40 - Retrieved data from cache for key: club_list:1 in 0:00:00.000303 seconds
2024-12-26 16:27:44 | INFO | main.custom_cache:wrapper:40 - Retrieved data from cache for key: club_list:1 in 0:00:00.000278 seconds
2024-12-26 16:27:46 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:27:46 | INFO | main.custom_cache:wrapper:50 - Cached data for key: club_detail:1:pk_2 in 0:00:00.017442 seconds
2024-12-26 16:27:47 | INFO | main.custom_cache:wrapper:40 - Retrieved data from cache for key: club_detail:1:pk_2 in 0:00:00.000341 seconds
2024-12-26 16:27:48 | INFO | main.custom_cache:wrapper:40 - Retrieved data from cache for key: club_detail:1:pk_2 in 0:00:00.000295 seconds
2024-12-26 16:27:49 | INFO | main.custom_cache:wrapper:40 - Retrieved data from cache for key: club_detail:1:pk_2 in 0:00:00.000330 seconds
2024-12-26 16:28:55 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:28:55 | INFO | main.custom_cache:wrapper:50 - Cached data for key: club_detail:1:pk_2 in 0:00:00.007871 seconds
